Region,State,Crop,Season,Year,Area,Production_tons,Yield_tpha,Annual_Rainfall,Total_Rainfall,Fertilizer,Pesticide,Avg_Temp
North East India,Meghalaya,Dry chillies,Whole Year ,1997,1766.0,1106,0.64,3818.2,291.05,168070.22,547.46,24.254166666666663
North East India,Meghalaya,Ginger,Kharif     ,1997,7357.0,45260,6.054285714,3818.2,291.05,700165.69,2280.67,24.254166666666663
North East India,Meghalaya,Gram,Rabi       ,1997,443.0,270,0.613333333,3818.2,291.05,42160.31,137.33,24.254166666666663
North East India,Meghalaya,Jute,Kharif     ,1997,4243.0,34683,8.436666667,3818.2,291.05,403806.31,1315.33,24.254166666666663
North East India,Meghalaya,Linseed,Kharif     ,1997,50.0,22,0.44,3818.2,291.05,4758.5,15.5,24.254166666666663
North East India,Meghalaya,Maize,Kharif     ,1997,17175.0,24878,1.444285714,3818.2,291.05,1634544.75,5324.25,24.254166666666663
North East India,Meghalaya,Mesta,Kharif     ,1997,4688.0,21558,4.68,3818.2,291.05,446156.96,1453.28,24.254166666666663
North East India,Meghalaya,Mesta,Whole Year ,1997,861.0,713,0.7525,3818.2,291.05,81941.37,266.91,24.254166666666663
North East India,Meghalaya,Other  Rabi pulses,Rabi       ,1997,1909.0,1511,0.777142857,3818.2,291.05,181679.53,591.79,24.254166666666663
North East India,Meghalaya,Potato,Whole Year ,1997,20764.0,200509,8.641428571,3818.2,291.05,1976109.88,6436.84,24.254166666666663
North East India,Meghalaya,Rapeseed &Mustard,Rabi       ,1997,6914.0,4467,0.608571429,3818.2,291.05,658005.38,2143.34,24.254166666666663
North East India,Meghalaya,Rice,Kharif     ,1997,105170.0,150101,1.378571429,3818.2,291.05,10009028.9,32602.7,24.254166666666663
North East India,Meghalaya,Sesamum,Kharif     ,1997,1326.0,688,0.575714286,3818.2,291.05,126195.42,411.06,24.254166666666663
North East India,Meghalaya,Small millets,Kharif     ,1997,2804.0,2237,0.861428571,3818.2,291.05,266856.68,869.24,24.254166666666663
North East India,Meghalaya,Soyabean,Kharif     ,1997,898.0,814,0.921428571,3818.2,291.05,85462.66,278.38,24.254166666666663
North East India,Meghalaya,Sugarcane,Whole Year ,1997,82.0,225,2.352,3818.2,291.05,7803.94,25.42,24.254166666666663
North East India,Meghalaya,Sweet potato,Whole Year ,1997,5212.0,16978,3.221428571,3818.2,291.05,496026.04,1615.72,24.254166666666663
North East India,Meghalaya,Tapioca,Whole Year ,1997,3959.0,21087,6.537142857,3818.2,291.05,376778.03,1227.29,24.254166666666663
North East India,Meghalaya,Tobacco,Rabi       ,1997,742.0,505,0.618,3818.2,291.05,70616.14,230.02,24.254166666666663
North East India,Meghalaya,Turmeric,Whole Year ,1997,1401.0,7126,5.425714286,3818.2,291.05,133333.17,434.31,24.254166666666663
North East India,Meghalaya,Wheat,Rabi       ,1997,4287.0,6894,1.385,3818.2,291.05,407993.79,1328.97,24.254166666666663
East India,West Bengal,Arecanut,Whole Year ,1997,8058.0,12423,1.691764706,1852.9,291.05,766879.86,2497.98,24.254166666666663
East India,West Bengal,Arhar/Tur,Whole Year ,1997,3630.0,2181,0.777692308,1852.9,291.05,345467.1,1125.3,24.254166666666663
East India,West Bengal,Bajra,Kharif     ,1997,207.0,95,0.426666667,1852.9,291.05,19700.19,64.17,24.254166666666663
East India,West Bengal,Barley,Whole Year ,1997,6116.0,5034,1.68,1852.9,291.05,582059.72,1895.96,24.254166666666663
East India,West Bengal,Cardamom,Whole Year ,1997,2674.0,7,0.0,1852.9,291.05,254484.58,828.94,24.254166666666663
East India,West Bengal,Castor seed,Whole Year ,1997,660.0,46,0.07,1852.9,291.05,62812.2,204.6,24.254166666666663
East India,West Bengal,Coconut ,Whole Year ,1997,24273.0,306202300,13003.78778,1852.9,291.05,2310061.41,7524.63,24.254166666666663
East India,West Bengal,Cotton(lint),Kharif     ,1997,26000.0,52000,2.0,1852.9,291.05,2474420.0,8060.0,24.254166666666663
East India,West Bengal,Dry chillies,Whole Year ,1997,64034.0,55569,0.942777778,1852.9,291.05,6094115.78,19850.54,24.254166666666663
East India,West Bengal,Gram,Rabi       ,1997,25485.0,16994,0.5975,1852.9,291.05,2425407.45,7900.35,24.254166666666663
East India,West Bengal,Groundnut,Whole Year ,1997,29615.0,38672,1.13,1852.9,291.05,2818459.55,9180.65,24.254166666666663
East India,West Bengal,Horse-gram,Kharif     ,1997,5645.0,2556,0.438888889,1852.9,291.05,537234.65,1749.95,24.254166666666663
East India,West Bengal,Jowar,Whole Year ,1997,948.0,450,0.482,1852.9,291.05,90221.16,293.88,24.254166666666663
East India,West Bengal,Jute,Kharif     ,1997,641574.0,7549700,13.44588235,1852.9,291.05,61058597.58,198887.94,24.254166666666663
East India,West Bengal,Khesari,Rabi       ,1997,25261.0,28460,1.095882353,1852.9,291.05,2404089.37,7830.91,24.254166666666663
East India,West Bengal,Linseed,Whole Year ,1997,16486.0,4210,0.251538462,1852.9,291.05,1568972.62,5110.66,24.254166666666663
East India,West Bengal,Maize,Whole Year ,1997,35469.0,130390,2.658461538,1852.9,291.05,3375584.73,10995.39,24.254166666666663
